hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi
ID,201505,201506,201507,201508,201509,201510,201511,201512,201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,201901,201902,201903,201904,201905,201906,201907,201908,201909,201910,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012
2085,96,238.8967895,145.7621605,278.9372569,173.5172555,173.5172555,127.7081874,276.5352313,243.7209048,309.0685725,251.0450224,251.0450224,203.0548147,549.9078339,380.135284,501.8677847,468.7290289,235.5017915,448.0458409,376.6047356,299.8302967,293.6588778,390.6778496,919.5825855,873.4088541,1460.847953,1375.271603,1489.622332,1851.690944,2113.108974,2379.201353,1832.668426,2001.824213,1986.342392,2155.298383,2874.444143,2473.614904,3234.059393,3272.257539,3215.056651,3379.354093,3990.488229,5058.004502,5790.187675,4307.707262,5419.317346,5649.038388,6189.703633,6601.103449,6643.311555,6747.593319,6988.745675,8056.500991,8113.426648,8210.826585,8278.695418,7327.496836,7435.833367,8449.616731,8588.376546,11192.19888,9349.566699,11103.36499,9654.220992,8937.120598,9126.493813,9197.203069,9214.98747
2320,507,829.4403087,415.0347709,523.4652978,593.2530683,593.2530683,584.8172421,646.7876105,1017.257166,989.1319972,2031.497703,2031.497703,2420.222917,1857.712586,3114.647146,2757.674876,2887.436209,3278.209277,3117.410211,3932.656037,4081.922498,4531.039628,4796.984417,5979.751124,4939.509253,6085.069443,6103.776788,6224.416346,5211.635492,5581.808654,6809.654241,6408.628817,5626.189137,6554.116269,5520.655027,6677.048142,5609.29647,4087.523852,4903.547113,4973.45041,6881.073881,7198.074697,7718.443676,10312.42886,9545.601634,12327.17253,13183.5905,13192.0436,11029.9662,11138.89401,11179.82107,11361.19794,10489.62753,10921.98938,11020.89882,8354.796232,4983.083382,6055.33745,6069.166792,6199.778137,6203.005876,5266.384518,5237.081072,5832.404365,5335.18427,6236.113997,6249.047745,5481.485706
2885,35,174.5878874,153.1616532,172.6807533,166.0686713,166.0686713,374.353761,287.7633771,281.2107926,314.1239739,425.5492787,425.5492787,640.9611183,1188.62629,1126.486839,1194.622548,3085.527804,2324.641418,3323.296696,3932.656037,2799.080818,3602.031541,3527.873282,4786.154042,3589.463425,4440.751909,4459.887585,4389.724878,4976.098505,5581.808654,5172.553533,4895.510747,3873.130749,4930.201562,5485.115193,6690.504306,6790.135351,6853.835123,11307.52882,14440.47056,17596.0362,17702.96091,17764.46735,15282.05389,13079.13381,17897.55983,8104.310272,8189.30297,8654.52472,10300.18954,11155.63398,10728.04378,12262.62263,12119.91081,11887.14829,11191.86864,8308.704925,8548.28563,8493.802417,8603.422064,9539.889965,8685.06897,6326.555778,6341.86037,5335.18427,5559.595395,7264.808882,5327.753571
2944,4273,1964.478738,1868.139574,2213.894959,2327.043868,2327.043868,2220.958463,2429.315597,2679.098004,3767.302338,4357.192233,4357.192233,4790.929031,5072.271062,5209.158963,5296.540782,6196.269481,6001.798356,12994.88707,19558.92192,21155.96533,22084.67719,22584.56547,24250.56612,25819.01875,27083.22252,27765.47479,28813.91282,29835.22739,31597.57098,35517.69631,36582.05131,39470.84845,44658.65188,41985.16241,46549.23577,48044.60913,48920.33823,50820.75129,53179.44935,55759.69919,55679.7219,51113.69355,47626.53547,38887.88102,49754.56809,43643.13574,51095.60758,52691.0237,52456.23159,54288.79285,55075.86346,56773.86547,53473.35316,56306.3582,54996.20368,49648.27621,52900.89938,53884.06751,64533.07204,63295.41508,63152.55259,58938.44828,60400.01664,57722.9431,60191.22168,59771.38968,60933.79849
3077,2140,1453.964033,993.719663,3066.19598,2486.875662,2486.875662,1577.334572,1249.740835,1224.932205,2683.605737,4448.2112,4448.2112,4908.639053,5042.941169,4823.935561,5207.893635,5264.768925,5466.889167,5305.524498,6261.152825,5720.185681,3435.151982,3858.355468,4353.283617,4289.609271,3759.841244,4372.325823,3755.553981,3785.814866,1783.276626,1891.914482,2037.642483,1481.445162,1721.226779,2000.365123,1612.819578,1659.067814,2346.362004,1686.713594,1985.488461,2460.806478,1705.923647,1836.633494,2148.478268,2613.597347,2906.448623,2701.185788,4118.597538,4449.620327,4585.866014,5761.705824,6784.991821,6771.315346,6205.333282,4918.737472,6020.65949,4983.083382,4055.408736,5052.37422,6167.160106,6287.251275,5266.384518,5237.081072,4217.468853,2676.079592,2103.520042,2024.478395,1966.34093
3417,1604,533.9268517,993.719663,1516.633186,1716.338099,1716.338099,1524.297673,2099.379069,1568.575686,1301.846788,2250.381947,2250.381947,2667.832258,2224.079293,1872.385122,2013.442407,3218.966401,2250.885919,2470.428822,3062.906699,2479.255583,3407.217623,2912.140162,3224.733037,3437.510826,3677.116068,3294.74868,3778.595466,4924.413614,3456.22677,3763.443133,3791.458756,2963.881894,2974.170185,2996.191896,3161.204594,3225.647394,3274.228622,3892.523838,4778.140591,6881.073881,7198.074697,6527.489076,6002.390028,9668.759793,11858.69014,13183.5905,13192.0436,13372.43456,7976.133091,10490.72471,11361.19794,8044.752635,6205.333282,6119.272905,4930.791247,4983.083382,5969.019105,5064.690933,5135.303997,6203.005876,6260.721519,6422.596164,6930.038206,5335.18427,5375.608178,5409.455279,5481.485706
4408,60,174.5878874,165.6920873,131.7451903,138.1472961,138.1472961,139.9064056,119.8779945,117.4626333,102.5023435,125.3574355,125.3574355,142.9316992,128.9056751,110.7622711,170.0643365,100.1642964,97.74115387,113.9974046,150.5792534,187.59838,131.0073019,137.1044607,128.5588893,179.8583042,132.2905799,232.4036579,297.7131647,147.464158,130.7586235,118.4500745,181.7019875,171.0790453,554.524086,2979.994565,5233.183496,4611.114788,4087.523852,4903.547113,4973.45041,5660.380473,6443.542414,7718.443676,7430.855325,7462.456316,9199.118453,9887.372186,10990.82293,10041.96145,10537.14084,11155.63398,16059.5889,15349.10691,14153.49673,17007.96364,16043.5971,18565.94235,20084.12105,20399.98181,20592.19778,24683.24856,22594.5827,22407.27405,24891.02013,25726.13266,25198.15487,25603.02972,25830.25453
4617,654,829.4403087,984.2103073,1654.53519,2144.135692,2144.135692,1577.334572,922.340822,1058.563956,1520.685484,1294.01907,1294.01907,1560.066039,1382.038819,1358.584827,1408.746082,2036.69468,2130.544454,2420.891103,2432.687967,3304.924385,3296.580168,3249.833921,4109.758161,3380.181508,3383.254055,3697.461814,3448.176636,2950.172203,2801.282341,2980.827321,2970.5922,3015.557203,3913.601878,3128.127343,3781.299803,5319.658414,5679.640222,5285.111114,5819.263215,7047.483668,7198.074697,7299.643958,10246.35003,7840.876974,7560.848099,6288.623057,6908.149175,5678.981426,7589.730156,7695.731582,8795.794903,8210.363193,7192.66096,7051.140207,6889.307507,6895.445539,6382.281621,4711.762249,6199.778137,6925.876234,6490.355209,5176.506684,5832.404365,5310.062794,4860.962611,4362.611392,5423.499114
4657,350,492.657533,364.4727562,523.4652978,593.2530683,593.2530683,567.5827988,1261.801056,1051.387226,1104.083958,1655.30976,1655.30976,1893.107185,1826.426929,2287.635238,1652.506008,2351.387497,2132.986783,2459.816907,2475.106372,2424.21181,2128.277809,2648.889563,3345.616383,2817.774585,3391.903208,3556.189167,3448.176636,3785.814866,2889.723801,4837.361113,5054.816874,5369.692247,6554.116269,6638.53891,7192.966982,7113.353977,6853.835123,6940.1667,7022.898535,7267.99303,7198.074697,7718.443676,10179.30355,10331.50293,9281.544215,9124.612973,10080.96461,10880.35526,10537.14084,11155.63398,11361.19794,11250.76499,11165.10417,13836.21516,11724.11887,11486.43242,10927.2421,10497.86043,11560.9447,11786.83125,11024.6245,11103.36499,11547.58277,11578.62886,11276.21385,11386.77072,11786.01678
5625,8953,1964.478738,2821.465174,4002.128135,3815.996843,3815.996843,4147.649736,3970.774453,4141.969979,4573.107428,4469.535084,4469.535084,5584.048165,5155.547985,5121.270863,5182.534537,5445.712112,4905.476249,5181.249304,5711.663305,5727.654838,5647.850592,7742.421696,8821.981895,5993.681581,6835.592067,7225.373262,8411.642739,7792.526751,6246.346712,6809.654241,6408.628817,5842.074371,6554.116269,6638.53891,7192.966982,7353.403235,7924.449862,11308.36262,12018.64336,12251.58767,12171.31132,12360.658,15282.05389,13079.13381,15223.19678,15515.90243,19508.28383,20278.96526,20404.07531,19556.98738,20933.20074,19858.88853,19877.4195,20052.93344,20240.45702,18565.94235,21815.7574,21739.61274,22069.47148,22375.81126,20984.59178,21153.48209,21189.40126,21393.7832,23401.35175,23108.55712,25830.25453
5636,76,197.5215585,145.7621605,131.7451903,175.9526105,175.9526105,203.7935762,259.8151088,386.6574961,430.8614046,421.4699953,421.4699953,268.2744429,717.3654926,1368.375828,1218.827365,1070.900424,542.6322247,761.7671631,852.1106038,860.0508616,1414.464966,1246.719993,1643.266684,1792.840102,1667.395059,1746.471542,1787.881697,2343.028175,2930.97827,2871.166511,2970.5922,3015.557203,4926.192919,3448.789961,4001.492858,5092.697853,5243.333599,5203.765976,5298.429176,3891.866085,5320.005741,5663.094353,5713.425019,5919.557701,6189.204102,6288.623057,6398.337969,5994.51324,6643.311555,7833.563008,8083.551282,8738.432935,8433.993826,9079.619194,9038.580019,8308.704925,8548.28563,9409.281158,12126.03975,10887.319,9349.566699,11649.84856,12548.2017,14606.2482,18377.93416,18464.57919,17813.46241
5833,4638,1964.478738,2917.359317,4002.128135,3544.310086,3544.310086,3169.79245,4018.273489,4204.21818,3850.216979,4022.63154,4022.63154,3611.787179,3147.43117,3029.670205,1803.346445,2250.812024,2184.714254,2403.59823,2451.701571,2529.313556,2636.51348,2711.517187,3600.736092,3348.719777,3412.624034,3388.966925,3744.044049,2955.63139,1329.593159,1151.426182,1084.6157,1367.000675,2236.362281,3794.168373,3655.444357,4052.011669,2449.675921,1774.677405,1788.025433,1571.279555,2488.605769,1965.866121,2107.056203,2339.558934,2222.239025,3330.120324,2644.714648,2769.453355,4187.329505,4212.676468,4721.539447,4427.833252,4755.536822,5086.408606,6572.411273,6351.338482,6193.681331,6085.162961,5222.273726,6287.251275,6947.006541,8643.817796,7956.799281,7913.174438,7990.194465,8772.567445,8853.958662
