hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi
357,0,0,0,0,0,0,33,27,27,19,95,95,229,195,416,729,1502,1224,1848,1747,3474,3386,3817,4868,5235,5142,3449,4538,5518,5906,8342,6188,7714,5766,7041,5145,5226,4927,5919,5892,5882,6233,4940,4975,7349,11376,10302,9901,9080,9723,7617,9509,13423,12494,61416,110339,73897,75172,67138,66548,66447,64004,53854,60211,79881,86077,59111
360,28,33,48,31,66,66,196,181,184,251,514,514,555,505,834,1318,1250,1162,1819,1586,3215,2946,3540,4519,4843,4703,3146,4228,5218,5530,7511,5265,6005,5153,6233,5240,5340,4946,6130,6025,5874,6283,4959,5017,7289,11460,10385,9979,9205,9859,7669,9553,13483,12546,61449,110353,73903,75285,67174,66526,66342,63910,53800,60127,79769,87302,60599
364,8823,11143,17053,17561,18070,18070,6365,5733,10575,7377,8791,8791,4266,3489,3824,3927,3560,3392,2591,2052,2151,2444,2356,1303,1427,1246,967,986,586,696,1263,461,411,537,346,335,538,555,629,1068,426,580,1026,716,578,353,582,1029,523,1010,769,441,468,403,320,479,341,571,434,535,377,257,408,389,415,486,391
417,0,0,0,0,0,0,51,37,55,59,90,90,556,1003,1666,2040,2382,1999,1875,1957,3795,2755,6532,7259,8663,8670,9862,13091,11480,12741,11701,8382,9547,8116,9499,9415,8330,7404,8268,8307,7602,12562,10443,8183,10140,9490,9143,10402,12775,12312,10267,15861,9679,10001,10058,11297,10944,13531,10419,10956,10946,9254,8540,17495,18161,17996,17831
975,22161,27634,30127,26966,28425,28425,16299,32599,31646,32291,31850,31850,29391,27991,26972,27581,21552,28453,21528,15903,17990,18827,25196,17610,17857,14519,13334,16231,12286,12374,14013,8589,10218,13791,14054,11050,16578,21628,17305,21452,21313,23403,18874,14933,6372,8644,9701,9064,4589,5138,5927,2887,3110,1752,2021,1228,986,1263,1074,1637,1175,1350,1371,1150,1178,1140,1211
1485,0,0,0,0,0,0,35,20,46,49,135,135,862,1102,826,1014,1071,1028,486,502,603,718,874,813,1327,1574,2221,1735,1795,3204,2147,1948,1953,2249,2734,1660,1999,2162,3092,2975,4459,3760,2910,2157,1821,1812,1805,1519,1298,1536,1875,1756,2685,2333,1848,2050,1688,1984,2695,4023,3379,2173,2085,4351,12427,10045,9399
1798,0,0,0,0,0,0,1070,4003,6337,7314,11464,11464,8564,9355,9062,11508,12250,10011,10169,8399,10906,12053,12325,13088,15732,12522,12195,13391,15367,17231,16859,12576,16451,12910,13658,12036,11333,13047,12290,15881,17008,19485,18096,21576,26382,26501,25607,29382,25067,27729,32684,29993,33860,28828,22723,24860,24764,29230,25342,29756,32960,30924,33246,38203,37775,37347,31899
1819,18498,18308,17395,16483,9158,9158,10649,10511,9897,3640,9622,9622,4729,4150,5358,5267,5438,5612,5820,5708,5823,7278,8564,7553,7357,4406,3153,3507,3817,5580,5849,4800,10927,12458,7544,6900,5755,8273,9500,9768,7907,7087,6275,6407,5296,5621,5997,6630,5072,5419,5153,4003,4033,3669,3990,2930,3519,3585,3455,3441,2717,3281,3283,3829,3548,3443,3645
1946,3278,3449,3963,4474,4368,4368,5789,5575,5262,5447,5146,5146,5024,5595,5419,4141,4872,4951,5322,5103,6741,7019,8042,6702,7996,7846,6343,7091,6884,6329,6980,5895,6647,6538,8075,6896,6586,6106,5494,6575,6238,6176,7079,6081,6441,5450,4984,6154,5213,5642,5920,7303,8259,8140,6115,7076,7860,9527,10859,11336,11814,10490,9305,9505,9736,9987,9172
2131,1074,1678,1890,1182,1614,1614,512,730,918,1034,1025,1025,831,1106,816,1553,2065,2150,2488,1915,1982,9182,7198,7615,8886,10157,4630,3145,2954,4686,3466,2631,3412,5046,2990,1665,2091,1804,1517,1862,2036,2616,2685,1198,859,660,662,1532,900,1212,1238,893,1196,1010,1337,1835,1277,989,711,772,538,420,591,679,483,306,306
2964,0,0,0,0,0,0,107,151,85,60,39,39,213,424,348,493,533,1091,780,460,943,715,997,896,1469,964,1229,1866,1250,1245,1529,1343,2162,4839,7445,7218,7989,10398,9953,9508,1380,1768,2295,1549,1787,1345,1381,1341,1102,1184,1622,1371,1528,1287,978,951,712,380,295,370,585,504,391,545,280,502,241
2997,2474,1893,1416,1366,1399,1399,1078,1109,1023,949,957,957,949,864,517,317,346,352,439,417,185,610,401,681,479,35781,27895,20009,13867,18682,10104,16383,4539,273,286,228,155,115,165,391,385,302,212,233,130,130,170,87,188,119,69,63,80,73,56,108,41,50,43,68,84,69,143,314,98,74,89
3361,0,3571,1427,2111,97,97,1056,685,263,204,390,390,100,76,129,202,347,333,227,218,939,624,322,253,463,517,380,354,375,770,655,559,355,676,858,651,938,1084,1744,2462,1485,2320,2528,1519,1090,1242,894,2177,1304,2223,3468,3645,3840,4584,3491,3511,3580,5001,6628,7794,10630,11684,10593,10274,11375,12477,10619
3362,0,3506,1422,1931,97,97,1125,686,263,199,392,392,96,77,137,205,342,340,225,227,943,647,315,261,465,516,389,361,378,781,642,571,359,690,890,653,938,1081,1746,2462,1484,2316,2580,1521,1066,1227,888,2193,1304,2256,3470,3641,3845,4583,3492,3510,3585,4998,6632,7786,10623,11683,10592,10273,11374,12475,10605
4210,63,34,810,1602,2467,2467,1282,1765,1054,1169,1338,1338,550,719,821,1278,1261,880,1013,344,311,507,303,171,145,294,123,120,137,142,110,92,832,1145,1129,1179,1047,989,1169,2921,2372,2762,3521,5049,6772,9965,11493,7220,9682,7735,8242,11089,10320,10428,14346,11643,17072,9633,2194,44,31,40,36,72,26,45,29
4494,518,589,622,642,606,606,1124,2844,3024,3624,4228,4228,5298,7095,6759,6482,7739,5896,5774,5159,6242,5922,7559,8148,9077,10241,11845,11169,16941,11639,12153,10002,11742,10627,12638,11778,11746,13434,15144,15416,13575,15149,12877,10372,13032,15175,17914,18028,18528,19891,17529,19700,23878,20850,17728,26969,29130,28611,23954,23165,29563,40197,50831,47616,53818,44832,41717
4543,4986,3692,5474,4979,3963,3963,3641,4665,7196,6503,6230,6230,5380,5695,5930,4662,4458,4739,6138,5030,6275,6841,7682,7372,9028,10327,14145,8755,7514,14022,18960,33085,37721,36752,20402,19341,27674,32543,31376,15918,18094,23030,22731,16069,16434,17723,16171,15049,16544,19264,18643,22404,22381,19196,15239,19567,20616,27297,34924,36881,37694,37379,23618,26984,25733,24118,17264
4669,11604,18357,20080,23066,20217,20217,23581,21089,20277,20216,20841,20841,20743,19440,21424,22122,21999,23656,25552,22244,17954,16923,18620,16154,16329,14008,13518,15580,15032,15406,16994,13647,14065,9047,10363,7406,6220,6397,6660,7629,6105,6559,6941,5596,5457,4528,5105,6119,5158,6787,6700,5597,5539,5499,4346,4790,5347,5567,5066,5017,5098,5583,5113,5276,4607,4155,4105
5451,10,31,79,86,159,159,203,120,214,176,153,153,50,47,35,50,230,347,316,243,298,271,251,118,380,395,419,337,236,867,514,809,800,732,673,583,535,926,1263,1159,1536,3105,3237,3128,2494,2879,4991,5207,5429,6235,6116,6347,9494,9710,10164,9864,10536,13650,12274,13470,13451,14306,19038,18721,21135,20751,20367
5491,0,0,171,385,61,61,516,227,297,659,1026,1026,376,488,814,592,673,589,1033,1217,1764,2133,2063,3505,3142,1838,1386,4285,4241,6142,6799,3485,3156,3207,4295,3833,10012,15264,9309,15719,24170,33557,42945,22034,18672,17834,18617,19041,19076,13257,15505,17426,17026,15514,9808,15360,16703,17065,19377,17291,13229,12875,16504,15750,23219,17601,15442
6001,108,251,347,423,261,261,2074,2572,3817,3777,4279,4279,7390,6660,4649,4290,4181,2857,6327,1895,4497,5779,7706,6483,7598,7687,8508,11451,11620,11790,11898,7754,9874,9060,10160,9028,8556,9668,8168,7766,7323,7653,6092,6446,6945,7711,7122,8032,6668,5923,5378,5862,6051,6040,3987,5522,5516,6993,6796,7816,7115,6149,6243,9407,9077,9277,4659
6049,0,0,65,124,170,170,290,114,93,493,1359,1359,149,196,200,818,432,927,1460,1584,3498,3988,6198,6887,9753,7429,6712,7379,7446,9048,12664,8867,6899,7349,10196,8236,11652,16732,10296,12859,10825,10824,11908,7115,11044,13651,15017,15488,12312,12170,11873,16933,24264,21552,18841,18158,17582,19087,19549,17293,15014,18215,15976,16122,18127,19758,17926
6306,0,0,0,0,0,0,30,16,22,19,8,8,18,9,8,12,188,301,177,56,64,16,23,38,46,44,121,223,379,442,223,188,417,455,751,937,693,1162,1608,1476,1423,2401,2425,1941,2525,4555,4545,4895,4487,5483,5442,4161,4725,5718,3816,5356,5215,6655,9770,9445,9068,8692,8769,8931,9294,9698,7799
6369,20836,21398,24539,19750,17228,17228,17195,13905,15429,11250,10096,10096,9991,9590,8509,7790,8154,9126,9104,8263,8854,7061,8266,8222,10111,5982,6422,6112,6449,5759,6428,4548,4673,3708,4483,4667,4897,4332,5299,8985,5002,5038,4740,3504,3933,3161,3045,4352,3170,3385,3318,2920,2819,2336,2046,4481,3979,5964,2484,2452,2394,3133,2637,2223,1963,1932,1780
6875,1238,1725,1919,2366,2376,2376,3185,3024,8212,8705,11508,11508,10192,9846,9073,11904,12236,9256,8379,7156,9025,9453,10579,10785,13464,13380,15393,18970,19069,20558,25173,18956,23118,26870,24434,21998,22960,19502,19059,17968,15712,15293,12453,10562,12989,13823,12415,12515,12962,13405,9635,8538,9399,8721,6234,8401,8963,11484,9353,7759,8836,8845,6384,5178,5177,5620,4904
7097,16530,19066,14153,22739,15202,15202,14032,11381,12953,14642,13844,13844,13662,12897,11631,14431,9898,10692,13495,18109,22831,22920,25141,21631,29985,36854,30559,26856,21335,17965,14418,12576,15091,12233,55498,74380,69636,69574,69513,17791,16454,13033,13038,13362,11791,12844,13407,21368,8980,16093,8601,8576,10890,10569,8944,12572,13919,16680,17733,15716,15261,16641,20862,21604,16549,14130,12789
7218,7204,9255,8404,11563,5781,5781,11830,9963,10625,10235,8185,8185,3601,3989,2156,2312,2305,2558,2369,1516,1238,1102,1366,818,1081,729,1097,1149,827,1067,624,654,756,699,726,700,569,258,253,679,574,137,263,403,197,188,496,738,428,414,343,209,184,194,154,385,140,208,217,150,150,101,108,280,306,223,348
7269,1116,1035,2360,2928,2800,2800,2567,3454,3995,3832,4297,4297,4351,4612,6793,8895,4903,7899,7715,5144,4302,4619,6458,5921,7331,8669,7663,8456,7976,8660,10425,8932,8931,9047,9286,10102,10499,11497,17979,23838,14346,22952,20702,16488,20235,21085,19710,18489,18810,22600,20811,22027,32934,28733,26022,29037,32789,34462,33411,37395,41380,36366,32188,32015,34424,33116,30556
7345,17,21,23,20,18,18,48,60,48,66,30,30,154,2411,4477,4779,6724,9165,10053,10090,13777,13663,16377,14334,18693,19475,24403,34543,30509,23621,20034,11489,14885,15974,22502,21582,22297,24454,25043,31024,37005,31654,24020,17622,17420,14927,13829,11385,9060,9101,11638,10455,13335,11122,9623,11037,11140,9259,9752,8825,7357,8214,8465,9832,9024,8780,7948
7710,0,0,3155,19616,14788,14788,9961,8848,10190,10275,10827,10827,4188,4765,4472,4593,4027,4526,3634,3130,3160,3134,4039,3950,4739,4875,5767,10990,7304,7426,4782,2949,2921,2827,3126,2985,2870,3305,3150,3333,3912,3867,3469,2794,3076,2973,2994,3280,2846,3090,3388,2748,3367,3300,2962,3316,3858,2732,2358,2479,2874,2421,2359,2190,1859,1928,2250
7713,427,1360,6734,21436,15768,15768,10100,9493,10392,10395,10624,10624,4323,4819,4528,4904,4165,4677,3732,3172,3192,3088,3617,3422,4057,4040,5340,10528,6925,7401,4984,2984,2795,2849,3108,2974,2886,3272,3031,3219,3714,3709,3167,2626,3177,3190,2714,2886,2662,2929,3013,2649,3335,3152,2839,3106,3422,2311,2068,1619,1573,1611,1640,1478,1259,1374,1691
7910,0,0,0,0,0,0,8362,8208,8372,11011,10505,10505,11183,9518,10112,9919,9904,10298,9452,8144,10078,10287,10732,11178,10461,9737,9985,9262,8763,9839,8879,7616,9079,7711,9102,7463,7072,5975,6991,7340,6756,7310,6903,5648,5739,6002,7647,12243,8535,7054,6825,5939,5941,5896,5398,6394,6730,7989,8364,7645,6766,6604,6471,5746,6596,5842,5902
7984,76,68,142,561,296,296,248,225,509,1841,2364,2364,5919,8033,8784,10091,10680,12262,17417,18354,23955,29757,39243,40242,51251,61120,66416,70632,74653,85757,93833,84547,104204,118246,159012,168167,199274,211358,225606,245444,249300,314688,312433,263594,293404,336434,366421,388570,384004,444638,448693,459491,500872,453419,430248,500279,517472,597881,578363,548914,582069,620830,563621,612030,621156,630282,606942
8028,202,885,820,501,433,433,2022,1607,3136,2492,2782,2782,2473,3520,3226,2720,2619,2897,3985,3448,3754,3913,4396,4602,5024,5873,10627,10878,8598,8750,10098,7377,7231,5899,9572,7532,7040,6837,8254,9132,9229,11623,11246,12269,15855,14603,14376,16683,14455,23621,32355,34605,79497,95899,77473,76499,79443,93466,199921,287280,374640,304219,304890,261455,226106,345329,411439
8259,0,0,0,0,0,0,124,47,173,257,129,129,133,303,590,605,533,514,546,405,433,2055,1116,1358,1340,2277,2193,2038,1696,1776,2743,2583,3552,2781,2898,2799,2715,3471,2976,3188,2527,2960,3554,3023,5162,6704,4210,4237,4119,5849,5201,4485,5221,8749,7144,7225,7420,8276,7103,10017,9834,9652,7937,8595,8660,6628,6200
9110,0,51,66,29,47,47,544,411,491,735,1073,1073,410,626,981,1393,1676,2008,2188,2075,3433,3996,5123,5412,7173,7206,6490,7300,8155,9371,9364,7834,6402,4513,6745,6344,8058,10100,11184,8964,8871,10855,10299,8465,8999,9601,9546,8675,7483,8158,7567,9010,10898,10508,10982,9647,10672,9656,10208,11235,12263,11118,9261,11869,11447,7563,6884
9439,0,0,0,641,1484,1484,1465,3664,5329,2991,1874,1874,3625,1683,3222,1624,419,966,786,491,631,1437,348,1190,1500,427,752,910,756,781,610,555,1000,786,807,548,522,1584,1775,1737,3230,1787,4413,9101,1669,1630,1565,10337,1195,3871,6548,6577,8247,9319,8742,6976,4006,3214,3821,4123,2934,3626,3979,4283,3229,3572,3637
9476,9137,9536,10116,13152,16075,16075,15516,13886,15162,15600,14003,14003,15320,20050,19082,24588,25446,24943,26285,25675,26449,27211,27971,28732,35158,27367,29607,39717,33727,31909,31157,22846,31123,28880,34449,28790,29632,24485,22165,26837,24181,30440,27719,17125,19786,21517,21641,23399,18902,30151,26708,28053,26594,24344,21580,23912,21747,26335,24566,21238,19969,19777,19746,19807,19364,18028,15498
9856,363,634,682,628,550,550,843,713,1316,1714,1610,1610,1660,1314,1311,1624,1583,1772,1688,1364,1334,1610,1741,1126,1098,1346,1057,784,771,923,732,691,724,769,838,733,870,613,533,581,616,923,1173,657,2323,3450,3655,4598,5458,7923,10170,7429,2051,1005,863,1467,1256,521,406,309,233,272,213,273,246,211,187
10153,0,0,0,0,0,0,192,112,65,43,42,42,55,36,41,35,40,66,49,50,22,27,33,30,32,24,30,23,2436,2202,1794,951,965,1670,1004,1150,1213,683,380,765,411,1830,1971,1474,3693,5024,6449,9479,12509,7409,8261,10374,9462,11774,10104,14087,10108,12568,13352,15205,9557,9688,14699,12591,10929,9144,9507
10329,0,0,0,2273,6095,6095,10914,15733,13870,10332,13246,13246,24945,19550,18253,14023,45,84,74,23,25,28,55,26,32,14,38,33,13,40,37,2,72,37,27,33,34,17,37,16,5,21,12,33,14,13,45,25,18,34,16,20,14,16,24,26,15,14,14,22,12,11,11,18,30,12,30
10692,0,0,0,0,0,0,50,18,51,18,12,12,25,19,12,20,19,47,47,25,193,76,147,320,455,230,271,1049,2713,4377,514,462,291,226,174,199,117,176,123,168,171,118,178,72,53,73,90,79,42,34,47,41,61,86,85,58,33,69,86,76,54,39,26,48,38,25,41
10850,9307,11329,10229,11247,8979,8979,6712,4089,2922,3265,4627,4627,4552,4846,5197,5825,5684,5365,6286,5259,4892,4758,5017,4564,5542,5745,4796,3613,3540,3114,4224,4479,5325,4327,4307,3960,3723,2737,3096,4039,3386,3688,3230,3061,2016,2060,2497,2462,1524,1697,1880,1851,1924,1771,1621,1786,3264,2711,2014,2242,2024,2325,2012,1844,1567,1426,1649
11063,0,0,0,0,0,0,133,100,149,232,321,321,260,342,393,286,394,428,405,580,1396,1506,5016,3071,2588,3111,4679,4311,4054,3684,4894,4367,6660,5288,4884,5972,6721,14425,10419,10887,9315,12698,12557,14484,19542,23622,14519,17066,14777,15888,14798,16193,19446,23193,23882,37542,34747,31953,26543,28995,31732,27543,25420,23638,29549,25865,21165
11162,0,0,0,0,0,0,65,30,50,27,14,14,36,31,22,49,43,68,129,100,247,284,290,348,306,459,736,493,428,1533,1159,419,509,621,1204,834,938,973,3538,5189,7054,10591,11168,10029,12427,13342,13864,16231,11998,16281,17361,20347,19033,20433,18894,20676,22489,23520,24862,27221,33362,30912,23901,24733,30051,35369,33116
11351,47894,41953,39279,34579,34516,34516,31564,22742,25676,27159,27067,27067,24136,27310,25424,25711,21955,23723,23682,24014,23647,22122,23050,19251,20225,18858,17491,19547,19188,19560,20753,14359,18784,15978,16971,14347,16255,12010,13162,20628,14206,14850,13692,11900,10792,11658,12672,13560,11364,13229,12814,10808,12305,13410,10580,13190,12611,14004,11666,10555,10701,10745,9396,10663,12043,9728,8443
11649,568,642,710,566,1566,1566,1679,6162,7633,6834,9645,9645,10490,11696,11618,12702,14752,16171,13667,12585,14387,25356,38293,46804,33942,24307,27752,30390,30148,29199,31041,40277,34644,39428,46482,53223,57334,44530,51931,64013,73416,102941,78637,63234,68369,101336,123166,116692,82057,98626,115196,99245,88592,81867,11770,8613,8392,9960,10927,12108,26278,39099,36828,38236,46449,44939,36069
12683,378,420,502,809,892,892,1438,760,1135,1504,865,865,1217,1444,1770,2059,3246,3483,3320,2502,3002,3083,3835,3219,4212,5528,4720,4089,3898,5021,5723,4865,6345,7344,7364,6195,7468,7357,6590,7070,6926,7084,5595,5256,5227,5675,5800,6598,6154,8507,10539,9166,7794,7725,7671,10365,10089,8640,8427,11621,10836,12181,10391,11496,11879,11493,8758
12717,20137,21866,38338,90294,142251,142251,20453,40295,27036,29101,19424,19424,12841,18044,7782,5569,5570,3908,3953,4275,5051,3756,4046,6891,6298,4209,1610,2933,2901,3151,3290,2142,5515,6393,5404,4662,5389,6921,10433,18007,4035,3617,4605,4263,3402,3861,4322,7206,4319,6707,5000,3365,4178,3652,3862,3772,3748,4388,4401,4876,5584,6261,6314,6863,7029,6007,5833
13426,277,766,798,1521,891,891,988,1015,1134,1067,859,859,856,1158,971,1237,1106,1374,1625,1216,1446,1757,1763,1569,2254,2540,3014,3475,3023,2932,2923,2856,3355,4106,4102,4931,5003,5472,4900,5125,5249,8653,11045,9856,10970,10929,10465,10633,9701,9892,9407,8469,10705,18149,17809,19274,20840,22541,20700,23142,23803,24465,20391,20814,17341,16155,13850
565,160,147,158,166,283,283,326,245,284,234,233,233,256,198,209,309,280,424,310,167,191,328,281,161,231,220,258,248,161,233,790,171,738,984,789,530,1039,2264,2590,4478,3121,3750,5188,17928,22390,25925,16896,7867,7052,8097,6938,8273,9268,8796,9787,10318,11698,14608,15889,14627,11406,11712,12086,13809,18222,20205,21023
12523,1935,1725,2109,1283,1619,1619,3542,3710,3686,4873,4874,4874,5427,6089,6000,7346,6179,6210,5831,4824,7299,7363,6708,4992,5724,5531,5848,6954,6144,8275,8910,6447,6994,6846,9240,9837,10434,5319,5833,7286,7270,9334,8586,6032,5865,5234,4743,5565,5678,5518,6194,5841,5960,5004,4674,5189,5472,7774,6989,6175,7558,8782,7448,7650,6832,7063,7208
13304,0,495,1410,1315,2591,2591,2683,2172,2695,3121,3170,3170,3541,3536,2817,2974,2994,2854,2849,3043,3131,3046,3878,3339,4154,4262,5238,4865,5234,7997,7785,7371,9469,9821,13252,11799,11276,11881,11883,13021,12036,14290,12099,10827,12465,13718,13993,15053,13167,15024,14291,12519,13376,12685,11212,12276,11451,12768,10517,12529,12369,14397,12143,19369,19645,19922,12749
141,474,334,1159,2040,5150,5150,6625,6711,8331,10787,11995,11995,38483,33329,28175,33204,43779,18385,7834,6270,7358,6570,7871,5860,6482,5828,7112,6397,6907,6481,6607,4789,7515,12518,8609,8312,9412,10265,9778,10026,7724,9225,7455,5932,7451,8308,9206,6434,5774,6918,5909,6731,4786,5750,5354,6522,7761,7097,6949,5631,5693,7115,5712,6475,5804,4735,4677
357,0,0,0,0,0,0,33,27,27,19,95,95,229,195,416,729,1502,1224,1848,1747,3474,3386,3817,4868,5235,5142,3449,4538,5518,5906,8342,6188,7714,5766,7041,5145,5226,4927,5919,5892,5882,6233,4940,4975,7349,11376,10302,9901,9080,9723,7617,9509,13423,12494,61416,110339,73897,75172,67138,66548,66447,64004,53854,60211,79881,86077,59111
360,28,33,48,31,66,66,196,181,184,251,514,514,555,505,834,1318,1250,1162,1819,1586,3215,2946,3540,4519,4843,4703,3146,4228,5218,5530,7511,5265,6005,5153,6233,5240,5340,4946,6130,6025,5874,6283,4959,5017,7289,11460,10385,9979,9205,9859,7669,9553,13483,12546,61449,110353,73903,75285,67174,66526,66342,63910,53800,60127,79769,87302,60599
364,8823,11143,17053,17561,18070,18070,6365,5733,10575,7377,8791,8791,4266,3489,3824,3927,3560,3392,2591,2052,2151,2444,2356,1303,1427,1246,967,986,586,696,1263,461,411,537,346,335,538,555,629,1068,426,580,1026,716,578,353,582,1029,523,1010,769,441,468,403,320,479,341,571,434,535,377,257,408,389,415,486,391
417,0,0,0,0,0,0,51,37,55,59,90,90,556,1003,1666,2040,2382,1999,1875,1957,3795,2755,6532,7259,8663,8670,9862,13091,11480,12741,11701,8382,9547,8116,9499,9415,8330,7404,8268,8307,7602,12562,10443,8183,10140,9490,9143,10402,12775,12312,10267,15861,9679,10001,10058,11297,10944,13531,10419,10956,10946,9254,8540,17495,18161,17996,17831
975,22161,27634,30127,26966,28425,28425,16299,32599,31646,32291,31850,31850,29391,27991,26972,27581,21552,28453,21528,15903,17990,18827,25196,17610,17857,14519,13334,16231,12286,12374,14013,8589,10218,13791,14054,11050,16578,21628,17305,21452,21313,23403,18874,14933,6372,8644,9701,9064,4589,5138,5927,2887,3110,1752,2021,1228,986,1263,1074,1637,1175,1350,1371,1150,1178,1140,1211
1485,0,0,0,0,0,0,35,20,46,49,135,135,862,1102,826,1014,1071,1028,486,502,603,718,874,813,1327,1574,2221,1735,1795,3204,2147,1948,1953,2249,2734,1660,1999,2162,3092,2975,4459,3760,2910,2157,1821,1812,1805,1519,1298,1536,1875,1756,2685,2333,1848,2050,1688,1984,2695,4023,3379,2173,2085,4351,12427,10045,9399
1798,0,0,0,0,0,0,1070,4003,6337,7314,11464,11464,8564,9355,9062,11508,12250,10011,10169,8399,10906,12053,12325,13088,15732,12522,12195,13391,15367,17231,16859,12576,16451,12910,13658,12036,11333,13047,12290,15881,17008,19485,18096,21576,26382,26501,25607,29382,25067,27729,32684,29993,33860,28828,22723,24860,24764,29230,25342,29756,32960,30924,33246,38203,37775,37347,31899
1819,18498,18308,17395,16483,9158,9158,10649,10511,9897,3640,9622,9622,4729,4150,5358,5267,5438,5612,5820,5708,5823,7278,8564,7553,7357,4406,3153,3507,3817,5580,5849,4800,10927,12458,7544,6900,5755,8273,9500,9768,7907,7087,6275,6407,5296,5621,5997,6630,5072,5419,5153,4003,4033,3669,3990,2930,3519,3585,3455,3441,2717,3281,3283,3829,3548,3443,3645
1946,3278,3449,3963,4474,4368,4368,5789,5575,5262,5447,5146,5146,5024,5595,5419,4141,4872,4951,5322,5103,6741,7019,8042,6702,7996,7846,6343,7091,6884,6329,6980,5895,6647,6538,8075,6896,6586,6106,5494,6575,6238,6176,7079,6081,6441,5450,4984,6154,5213,5642,5920,7303,8259,8140,6115,7076,7860,9527,10859,11336,11814,10490,9305,9505,9736,9987,9172
2131,1074,1678,1890,1182,1614,1614,512,730,918,1034,1025,1025,831,1106,816,1553,2065,2150,2488,1915,1982,9182,7198,7615,8886,10157,4630,3145,2954,4686,3466,2631,3412,5046,2990,1665,2091,1804,1517,1862,2036,2616,2685,1198,859,660,662,1532,900,1212,1238,893,1196,1010,1337,1835,1277,989,711,772,538,420,591,679,483,306,306
2964,0,0,0,0,0,0,107,151,85,60,39,39,213,424,348,493,533,1091,780,460,943,715,997,896,1469,964,1229,1866,1250,1245,1529,1343,2162,4839,7445,7218,7989,10398,9953,9508,1380,1768,2295,1549,1787,1345,1381,1341,1102,1184,1622,1371,1528,1287,978,951,712,380,295,370,585,504,391,545,280,502,241
2997,2474,1893,1416,1366,1399,1399,1078,1109,1023,949,957,957,949,864,517,317,346,352,439,417,185,610,401,681,479,35781,27895,20009,13867,18682,10104,16383,4539,273,286,228,155,115,165,391,385,302,212,233,130,130,170,87,188,119,69,63,80,73,56,108,41,50,43,68,84,69,143,314,98,74,89
3361,0,3571,1427,2111,97,97,1056,685,263,204,390,390,100,76,129,202,347,333,227,218,939,624,322,253,463,517,380,354,375,770,655,559,355,676,858,651,938,1084,1744,2462,1485,2320,2528,1519,1090,1242,894,2177,1304,2223,3468,3645,3840,4584,3491,3511,3580,5001,6628,7794,10630,11684,10593,10274,11375,12477,10619
3362,0,3506,1422,1931,97,97,1125,686,263,199,392,392,96,77,137,205,342,340,225,227,943,647,315,261,465,516,389,361,378,781,642,571,359,690,890,653,938,1081,1746,2462,1484,2316,2580,1521,1066,1227,888,2193,1304,2256,3470,3641,3845,4583,3492,3510,3585,4998,6632,7786,10623,11683,10592,10273,11374,12475,10605
4210,63,34,810,1602,2467,2467,1282,1765,1054,1169,1338,1338,550,719,821,1278,1261,880,1013,344,311,507,303,171,145,294,123,120,137,142,110,92,832,1145,1129,1179,1047,989,1169,2921,2372,2762,3521,5049,6772,9965,11493,7220,9682,7735,8242,11089,10320,10428,14346,11643,17072,9633,2194,44,31,40,36,72,26,45,29
4494,518,589,622,642,606,606,1124,2844,3024,3624,4228,4228,5298,7095,6759,6482,7739,5896,5774,5159,6242,5922,7559,8148,9077,10241,11845,11169,16941,11639,12153,10002,11742,10627,12638,11778,11746,13434,15144,15416,13575,15149,12877,10372,13032,15175,17914,18028,18528,19891,17529,19700,23878,20850,17728,26969,29130,28611,23954,23165,29563,40197,50831,47616,53818,44832,41717
4543,4986,3692,5474,4979,3963,3963,3641,4665,7196,6503,6230,6230,5380,5695,5930,4662,4458,4739,6138,5030,6275,6841,7682,7372,9028,10327,14145,8755,7514,14022,18960,33085,37721,36752,20402,19341,27674,32543,31376,15918,18094,23030,22731,16069,16434,17723,16171,15049,16544,19264,18643,22404,22381,19196,15239,19567,20616,27297,34924,36881,37694,37379,23618,26984,25733,24118,17264
4669,11604,18357,20080,23066,20217,20217,23581,21089,20277,20216,20841,20841,20743,19440,21424,22122,21999,23656,25552,22244,17954,16923,18620,16154,16329,14008,13518,15580,15032,15406,16994,13647,14065,9047,10363,7406,6220,6397,6660,7629,6105,6559,6941,5596,5457,4528,5105,6119,5158,6787,6700,5597,5539,5499,4346,4790,5347,5567,5066,5017,5098,5583,5113,5276,4607,4155,4105
5451,10,31,79,86,159,159,203,120,214,176,153,153,50,47,35,50,230,347,316,243,298,271,251,118,380,395,419,337,236,867,514,809,800,732,673,583,535,926,1263,1159,1536,3105,3237,3128,2494,2879,4991,5207,5429,6235,6116,6347,9494,9710,10164,9864,10536,13650,12274,13470,13451,14306,19038,18721,21135,20751,20367
