hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi
1355,994,928,1048,1013,939,939,887,1044,1717,2110,2068,2068,3422,3796,5880,8433,3176,3751,2349,2060,2454,2151,1982,1916,2684,2262,1588,1488,1399,2572,1700,1552,1436,1782,1964,559,319,353,405,863,825,982,1244,806,2897,4340,6293,10187,11137,12820,12823,12826,4263,1957,1746,2771,2604,2281,2128,1587,1269,1230,1390,1222,1259,1489,1648
1557,4469,5277,5768,7802,8925,8925,21252,15103,17293,23229,26544,26544,44481,39223,40487,41134,36483,18260,14968,10658,11045,8796,9768,9724,9652,11965,9626,14500,12418,15778,13671,9440,11879,16655,21902,13190,6802,4763,5161,5892,5287,8800,6944,6911,11571,8738,24346,39954,5711,7725,9243,10252,16456,22651,11381,13995,18833,18898,20119,22185,40678,37151,13296,21749,22360,21723,21560
1648,1136,1377,1740,2961,3647,3647,2569,2828,2554,3383,4201,4201,4709,2591,2300,2718,3126,3319,2318,1359,1740,2372,2337,1930,2017,1880,2348,2481,2283,2966,3080,2012,1975,2046,1964,1997,2046,1897,3028,4637,3664,11105,24950,27426,9868,21734,17738,17230,15143,21957,25441,24242,22679,20292,16901,5458,5231,7576,10412,11243,13878,25956,18262,5363,5864,4704,4598
1770,17322,22655,31038,39606,63302,63302,85659,79364,84739,90114,69573,69573,59091,58976,54390,57009,46853,52141,51328,35652,38859,34081,40801,41668,41807,31468,28293,30600,27883,26990,26312,22096,23895,24357,21898,19165,47069,24818,28225,35872,30294,26431,31303,34226,19755,22018,24076,47684,27087,39131,29595,10954,9857,8644,8743,10002,9849,10312,9460,8690,8462,11449,11117,10710,10556,8974,11264
1781,158,64,78,115,243,243,277,238,580,471,814,814,1041,1385,1615,1357,2268,2778,4045,3519,2733,3757,5110,3826,5096,4743,4512,5780,5873,6249,6651,4131,6712,9284,11724,8579,8046,7909,7767,10479,17764,22922,24631,20293,23776,25248,26147,25202,22322,21921,20735,20331,66622,44506,22390,24572,23625,26081,23630,22782,24192,20873,17474,19466,25285,21548,19034
2085,96,65,112,75,39,39,49,46,67,48,43,43,487,255,227,83,69,135,95,63,78,124,592,519,1074,812,1097,1310,1909,2214,1808,1462,1266,1634,2726,2383,2961,3515,3084,3618,5517,6163,7470,5157,6338,8298,7608,8154,8876,9241,10811,10427,11698,10575,9746,9841,10086,12703,16283,14750,15642,13826,12010,12925,13087,12702,11000
2320,507,446,523,612,417,417,722,864,975,2208,4949,4949,5208,5118,4600,4654,4929,4989,6555,6093,7815,9346,11499,9523,11137,11418,10564,8796,9552,12943,11875,8823,10283,7996,11471,7411,5200,5755,5931,10926,11567,14576,18861,16956,26002,25762,22626,21600,19011,21941,15810,17589,17205,12196,5204,5952,6150,6735,5938,5513,5374,5698,5206,5984,6006,5568,4267
2885,35,56,89,46,297,297,77,101,109,195,504,504,1060,505,1862,5848,5481,4898,6125,4546,5405,5467,7226,5129,6397,6369,5899,9110,9478,6851,7257,5243,7270,8166,11653,10692,11745,29370,34643,39708,41489,40956,35021,29087,14110,13880,13883,17555,19893,16392,23137,22657,21210,15893,10834,11899,10868,10195,15002,10396,5902,5975,5418,5728,8344,4712,3532
2944,4273,4133,5451,4867,4460,4460,4846,5654,8573,9654,11219,11219,10330,10842,12857,14956,14876,43840,223040,200325,206004,229843,310372,216148,287247,322484,319967,317451,298321,300575,222874,192909,243595,203911,266783,262411,271296,269065,271580,291450,245046,231231,188144,180678,180338,213210,208798,224278,238811,246840,213402,205629,224575,218566,195602,188561,193147,256233,240035,249121,235386,233046,207630,223595,217294,224448,219901
3077,2140,1661,8866,5207,2546,2546,1923,1292,7410,10682,11589,11589,9328,11042,10216,12001,11046,10092,14655,14079,4778,6209,6330,5974,5177,5709,4977,4724,2028,1570,1466,835,1050,1325,1005,1209,2017,977,1297,1579,989,1029,1519,2108,2143,3981,4493,5574,7272,8656,7659,6948,5476,5912,5564,3657,5019,6891,6903,5509,5422,3382,1573,916,827,700,1665
